epoch,global_step,lr,train_total,train_clip_cosine,train_clip_infonce,train_lowlevel_mse,val_loss,val_top1,val_top5,val_top10,val_mean_rank,val_mean_cosine,best_metric,is_best,seconds
0,58,2.543103448275862e-05,10.111307012623755,0.6747891738496977,5.601134596199825,15.341533414248762,9.460639850980858,0.0,0.0036275695284159614,0.007859733978234583,828.4492140266021,0.7179062962532043,0.0036275695284159614,1,13.2
1,116,5e-05,9.67664782754306,0.26075905715597086,5.597181649043642,15.274828450433139,9.434551501937184,0.0006045949214026602,0.0024183796856106408,0.007859733978234583,825.9727932285368,0.7403719425201416,0.0036275695284159614,0,7.2
2,174,4.99871554050172e-05,9.659307134562525,0.26073844268404206,5.580089963715652,15.273914961979306,9.413130193984783,0.0006045949214026602,0.0024183796856106408,0.009673518742442563,767.4153567110036,0.7241652011871338,0.0036275695284159614,0,7.2
3,232,4.994863481875841e-05,9.594976869122736,0.2756072883975917,5.505207259079506,15.256649379072519,9.376303258801315,0.0006045949214026602,0.007255139056831923,0.013905683192261185,717.5598548972189,0.7095229625701904,0.007255139056831923,1,7.2
4,290,4.9884477823729956e-05,9.52508883640684,0.29193333459311516,5.428821826803273,15.217334813085095,9.335868451442511,0.0,0.004232164449818622,0.010278113663845224,682.776299879081,0.6949619650840759,0.007255139056831923,0,7.0
5,348,4.979475034558115e-05,9.461729575847757,0.30747684939154263,5.363233697825465,15.164076180293643,9.306419532849683,0.0012091898428053204,0.006045949214026602,0.012091898428053204,650.2466747279323,0.6785919666290283,0.007255139056831923,0,7.2
6,406,4.967954458536126e-05,9.407851613801101,0.32141420399320536,5.303595246939824,15.131368472658355,9.299757696841331,0.0006045949214026602,0.010278113663845224,0.015719467956469165,629.5308343409915,0.6593998670578003,0.010278113663845224,1,7.3
7,464,4.9538978924776634e-05,9.356819350143958,0.33511544455742015,5.244723747516501,15.107920909750051,9.279665189325593,0.0012091898428053204,0.009673518742442563,0.014510278113663845,609.7684401451028,0.6504618525505066,0.010278113663845224,0,7.1
8,522,4.937319780454559e-05,9.316794050150904,0.3455319820806898,5.199766027516332,15.085984032729577,9.291471642767505,0.0024183796856106408,0.010278113663845224,0.016324062877871828,602.2720677146312,0.6298583149909973,0.010278113663845224,0,7.2
9,580,4.9182371575975736e-05,9.264764259601462,0.35773396954454223,5.14279135342302,15.056955830804233,9.273537227579876,0.003022974607013301,0.010278113663845224,0.018742442563482467,586.9631197097945,0.6244574785232544,0.010278113663845224,0,7.1
10,638,4.8966696325916515e-05,9.221427325544687,0.3683350471587017,5.096769924821524,15.025289765719709,9.27362659389768,0.0006045949214026602,0.010882708585247884,0.016324062877871828,575.651753325272,0.610925555229187,0.010882708585247884,1,7.2
11,696,4.8726393675266716e-05,9.16502442853204,0.3828633566354883,5.034948809393521,14.98884891641551,9.289625562231947,0.0018137847642079807,0.011487303506650543,0.017533252720677146,565.3548972188634,0.5834495425224304,0.011487303506650543,1,7.1
12,754,4.846171055124401e-05,9.127257363549594,0.3919405783044881,4.994274797110722,14.964168005976184,9.314622822522828,0.0012091898428053204,0.010882708585247884,0.018742442563482467,578.3585247883918,0.5759488940238953,0.011487303506650543,0,7.1
13,812,4.817291893365055e-05,9.082403281639362,0.4015125786436015,4.947025562154836,14.93546069901565,9.292568851410982,0.0012091898428053204,0.011487303506650543,0.022974607013301087,553.0266021765417,0.5625210404396057,0.011487303506650543,0,7.0
14,870,4.7860315575395316e-05,9.039545848451812,0.40942173939326715,4.906431461202687,14.894770375613508,9.301816347576542,0.0012091898428053204,0.012696493349455865,0.022370012091898428,546.720677146312,0.5425888895988464,0.012696493349455865,1,7.3
15,928,4.752422169756048e-05,8.992232224036908,0.42041517228915776,4.858407645389952,14.853637613099197,9.289140964217458,0.0024183796856106408,0.013905683192261185,0.02357920193470375,539.7091898428054,0.5372639894485474,0.013905683192261185,1,7.4
16,986,4.716498265932501e-05,8.957588902835187,0.429902722095621,4.821387586922481,14.825194490366968,9.2976557283044,0.0012091898428053204,0.010882708585247884,0.022370012091898428,540.1995163240629,0.5277450680732727,0.013905683192261185,0,7.0
17,1044,4.678296760308474e-05,8.908925204441465,0.4374960460539522,4.776260244435277,14.780675657864276,9.300923819121023,0.0024183796856106408,0.013905683192261185,0.02418379685610641,541.66807738815,0.5251485705375671,0.013905683192261185,0,7.0
18,1102,4.637856907513366e-05,8.862724534396467,0.4476537504072847,4.7279468404835665,14.7484958582911,9.319798723241583,0.0018137847642079807,0.010882708585247884,0.02599758162031439,535.1559854897218,0.5022972822189331,0.013905683192261185,0,7.1
19,1160,4.595220262229601e-05,8.82320658913974,0.4568356455400072,4.689386170485924,14.707939230162522,9.3233306082157,0.0024183796856106408,0.013301088270858524,0.024788391777509067,533.3422007255139,0.4924534559249878,0.013905683192261185,0,7.0
