condition,mean_clip_similarity,clip_top1,clip_top5,mean_pixel_mse,mean_ssim,mean_lpips
correct,0.6046456098556519,0.0625,0.4375,0.14889822900295258,0.061080679297447205,0.7589342594146729
permuted,0.5831419229507446,0.0625,0.375,0.14434543251991272,0.07730504870414734,0.7910494804382324
zero,0.572522759437561,0.0,0.25,0.12818597257137299,0.0943821370601654,0.7981550693511963
