metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,zero,sub-01,test,0.005,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,sub-01,test,0.025,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,sub-01,test,0.05,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,zero,sub-01,test,100.5,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,zero,sub-01,test,100.5,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,zero,sub-01,test,0.2630198895931244,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,zero,sub-01,test,0.5164248595706613,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,zero,sub-01,test,0.5098318989587521,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,zero,sub-01,test,0.2630198702490707,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,zero,sub-01,test,13.99668599690031,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,zero,sub-01,test,1.8476523090389105,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,zero,sub-01,test,0.0,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,zero,all,test,0.005,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.2630198895931244,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.01,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.015,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.045,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,94.49,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,96.0,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.3577159643173218,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.4349529606512657,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.4388718976264954,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.35771596627202656,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,0.01509757446563833,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mse,noise,sub-01,test,14.691719532152897,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mae,noise,sub-01,test,1.855253996160614,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
lowlevel/mean_pearson,noise,sub-01,test,0.0023770907150689404,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top1,noise,all,test,0.01,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top5,noise,all,test,0.015,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/top10,noise,all,test,0.045,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,94.49,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/median_rank,noise,all,test,96.0,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.3577159643173218,42,outputs\exp03_raw_sampling_100hz_eeg_lowlevel_multitask\checkpoints\best.pt
