condition,mean_clip_similarity,median_clip_similarity,clip_top1,clip_top5,mean_pixel_mse,mean_ssim,mean_lpips
correct,0.6802207827568054,0.667664647102356,0.255,0.39,0.1329372078180313,0.05946854501962662,0.7229050993919373
permuted,0.6686881184577942,0.6521660089492798,0.2,0.335,0.13348853588104248,0.05838456749916077,0.7280784845352173
zero,0.6561682224273682,0.6444700956344604,0.16,0.24,0.09126556664705276,0.20401763916015625,0.824677586555481
permuted_text,0.6031744480133057,0.60423743724823,0.005,0.035,0.1350647360086441,0.05649280548095703,0.7388806343078613
