epoch,global_step,loss,best_loss,lr,val_clip_sim,best_val_sim,is_best,seconds
0,1108,0.15785241791905083,0.15785241791905083,0.00016014440433212998,0.68335,0.68335,1,1179.9
1,2216,0.1589354377485365,0.15785241791905083,0.00019950829025450114,,0.68335,0,1778.4
2,3324,0.15716927502700945,0.15716927502700945,0.0001973326597248006,,0.68335,0,1621.7
3,4432,0.15535007052958866,0.15535007052958866,0.0001934564464599461,,0.68335,0,1750.4
4,5540,0.15901629249395485,0.15535007052958866,0.0001879473751206489,,0.68335,0,1748.3
5,6648,0.15623831294226306,0.15535007052958866,0.00018090169943749476,0.74946,0.74946,1,1642.5
6,7756,0.15716120432716368,0.15535007052958866,0.00017244252047910892,,0.74946,0,1636.6
7,8864,0.15846237007634115,0.15535007052958866,0.0001627176358473537,,0.74946,0,1623.3
8,9972,0.1558639593334086,0.15535007052958866,0.00015189695737812152,,0.74946,0,1677.4
9,11080,0.15629652795260185,0.15535007052958866,0.00014016954246529696,,0.74946,0,1624.1
10,12188,0.15836263971315545,0.15535007052958866,0.00012774029087618446,0.76779,0.76779,1,1664.7
11,13296,0.1593112345001317,0.15535007052958866,0.0001148263647711842,,0.76779,0,1689.1
12,14404,0.15469740703155188,0.15469740703155188,0.00010165339447663587,,0.76779,0,1861.9
13,15512,0.1571752197743539,0.15469740703155188,8.845153630304139e-05,,0.76779,0,2007.1
14,16620,0.15748911751128217,0.15469740703155188,7.54514512859201e-05,,0.76779,0,1980.5
15,17728,0.15797333190093746,0.15469740703155188,6.28802751081779e-05,0.7803,0.7803,1,1851.2
16,18836,0.15632975305227334,0.15469740703155188,5.095764961694922e-05,,0.7803,0,1930.9
17,19944,0.15634801847052868,0.15469740703155188,3.9891885271697496e-05,,0.7803,0,2485.7
18,21052,0.15843701845968067,0.15469740703155188,2.9876321572751144e-05,,0.7803,0,1575.8
19,22160,0.1589347147275016,0.15469740703155188,2.1085949060360654e-05,,0.7803,0,2065.2
20,23268,0.1578067514355193,0.15469740703155188,1.3674351904242611e-05,0.77862,0.7803,0,1961.4
21,24376,0.15650324165890792,0.15469740703155188,7.771024502261526e-06,,0.7803,0,1767.7
22,25484,0.15936385894940186,0.15469740703155188,3.4791089722651436e-06,,0.7803,0,1700.0
23,26592,0.15712168470716537,0.15469740703155188,8.735930673024806e-07,,0.7803,0,1732.4
24,27700,0.16110277933074776,0.15469740703155188,0.0,0.78066,0.78066,1,1754.5
