epoch,global_step,loss,best_loss,lr,val_clip_sim,best_val_sim,is_best,seconds
0,1861,0.15522677414935074,0.15522677414935074,0.00016010318142734307,0.64532,0.64532,1,1372.8
1,3722,0.15265231337195584,0.15265231337195584,0.000199508119797799,,0.64532,0,1349.9
2,5583,0.15499258940696845,0.15265231337195584,0.00019733228207403946,,0.64532,0,1368.1
3,7444,0.15626388791826934,0.15265231337195584,0.00019345588742299662,,0.64532,0,1362.5
4,9305,0.1556649667486282,0.15265231337195584,0.00018794666290948642,,0.64532,0,1360.9
5,11166,0.1534594488723711,0.15265231337195584,0.00018090086385302647,0.78611,0.78611,1,1380.7
6,13027,0.1525459300582005,0.1525459300582005,0.00017244159208723643,,0.78611,0,1354.0
7,14888,0.15171074992976458,0.15171074992976458,0.0001627166451659654,,0.78611,0,1353.8
8,16749,0.15252256708953643,0.15171074992976458,0.000151895934094093,,0.78611,0,1355.8
9,18610,0.15450296209041237,0.15171074992976458,0.0001401685146995449,,0.78611,0,1352.2
10,20471,0.154257770705316,0.15171074992976458,0.00012773928451339297,0.77291,0.78611,0,1374.4
11,22332,0.15312471683709578,0.15171074992976458,0.00011482540286904085,,0.78611,0,1365.7
12,24193,0.1533378138767845,0.15171074992976458,0.00010165249676731974,,0.78611,0,1367.7
13,26054,0.15157372082843745,0.15157372082843745,8.845071879734384e-05,,0.78611,0,1366.1
14,27915,0.15238740111384744,0.15157372082843745,7.545072598780814e-05,,0.78611,0,1368.1
15,29776,0.15333787766268347,0.15157372082843745,6.287964984488728e-05,0.79686,0.79686,1,1379.9
16,31637,0.15249583067956285,0.15157372082843745,5.095712798687917e-05,,0.79686,0,1371.1
17,33498,0.1534965369596639,0.15157372082843745,3.9891466709539906e-05,,0.79686,0,1368.4
18,35359,0.15431426970425047,0.15157372082843745,2.9876001528478058e-05,,0.79686,0,1375.0
19,37220,0.15453041926673003,0.15157372082843745,2.108571928598986e-05,,0.79686,0,1368.5
20,39081,0.15251219081218792,0.15157372082843745,1.3674200839748708e-05,0.82284,0.82284,1,1378.0
21,40942,0.1522022152824314,0.15157372082843745,7.770937749665385e-06,,0.82284,0,1372.1
22,42803,0.1525143019181337,0.15157372082843745,3.479069844864402e-06,,0.82284,0,1367.0
23,44664,0.15362660997551839,0.15157372082843745,8.735831992461308e-07,,0.82284,0,1383.7
24,46525,0.15344198258128455,0.15157372082843745,0.0,0.828,0.828,1,1381.0
