condition,mean_clip_similarity,clip_top1,clip_top5,mean_pixel_mse,mean_ssim,mean_lpips
correct,0.6028552055358887,0.0625,0.25,0.09972521662712097,0.1601353883743286,0.7396063804626465
permuted,0.594516396522522,0.0,0.25,0.11600052565336227,0.12956322729587555,0.760296642780304
zero,0.6042248010635376,0.0,0.25,0.06704398989677429,0.30546247959136963,0.8459374904632568
