condition,mean_clip_similarity,median_clip_similarity,clip_top1,clip_top5,mean_pixel_mse,mean_ssim,mean_lpips
correct,0.717739999294281,0.7259236574172974,0.42,0.62,0.11370816826820374,0.09814739972352982,0.7353256344795227
permuted,0.7191929817199707,0.7220072746276855,0.44,0.59,0.11204826086759567,0.10227524489164352,0.7405855059623718
zero,0.763313353061676,0.7761765718460083,0.565,0.745,0.10917499661445618,0.12769639492034912,0.732745885848999
permuted_text,0.5894458889961243,0.591711163520813,0.015,0.03,0.11694478243589401,0.09901608526706696,0.7664244174957275
semantic_permuted,0.7169529795646667,0.7252853512763977,0.405,0.595,0.11404208093881607,0.09884216636419296,0.7351072430610657
semantic_zero,0.7204498052597046,0.7267186641693115,0.45,0.595,0.12575986981391907,0.09003762900829315,0.7479760050773621
lowlevel_permuted,0.7218954563140869,0.730366587638855,0.445,0.625,0.11209829151630402,0.10203368961811066,0.7389264106750488
lowlevel_zero,0.7670765519142151,0.7785946130752563,0.575,0.74,0.11061791330575943,0.12672275304794312,0.7311659455299377
