condition,mean_clip_similarity,clip_top1,clip_top5,mean_pixel_mse,mean_ssim,mean_lpips
correct,0.5932034254074097,0.0625,0.3125,0.17650967836380005,0.036858730018138885,0.7654386162757874
permuted,0.5886585712432861,0.0,0.4375,0.17674720287322998,0.03278744965791702,0.7698613405227661
zero,0.5728172659873962,0.0625,0.375,0.12636631727218628,0.18408411741256714,0.7882906198501587
