metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,zero,all,test,0.005,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.2027597576379776,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.005,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.02,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.06,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,98.03,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,97.0,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.3420310914516449,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.4429530498852535,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.44934802924310363,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.34203107801249666,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,0.003673411890318699,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,all,test,0.005,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,all,test,0.02,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,all,test,0.06,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,98.03,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,all,test,97.0,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.3420310914516449,42,outputs\exp01_raw_temporal_200_400_eeg_to_clip\checkpoints\best.pt
