condition,mean_clip_similarity,median_clip_similarity,clip_top1,clip_top5,mean_pixel_mse,mean_ssim,mean_lpips
correct,0.5971261262893677,0.5958263874053955,0.015,0.035,0.16696518659591675,0.02960497885942459,0.8129293918609619
permuted,0.5922408699989319,0.5901340246200562,0.0,0.025,0.16942520439624786,0.026750674471259117,0.818966805934906
zero,0.6064699292182922,0.6099260449409485,0.005,0.015,0.07934025675058365,0.2766942083835602,0.9128379821777344
