epoch,global_step,loss,best_loss,lr,val_clip_sim,best_val_sim,is_best,seconds
0,1861,0.15165326963340853,0.15165326963340853,0.00016010318142734307,0.81653,0.81653,1,4679.4
1,3722,0.1511836910394352,0.1511836910394352,0.000199508119797799,,0.81653,0,4368.7
2,5583,0.1523833758943859,0.1511836910394352,0.00019733228207403946,,0.81653,0,2009.4
3,7444,0.1521635510855251,0.1511836910394352,0.00019345588742299662,,0.81653,0,2010.8
4,9305,0.1515234564213916,0.1511836910394352,0.00018794666290948642,,0.81653,0,2369.7
5,11166,0.15119583873411316,0.1511836910394352,0.00018090086385302647,0.74019,0.81653,0,6004.2
6,13027,0.15408673801602144,0.1511836910394352,0.00017244159208723643,,0.81653,0,4112.7
7,14888,0.15254540783386308,0.1511836910394352,0.0001627166451659654,,0.81653,0,4127.8
8,16749,0.15528141741216558,0.1511836910394352,0.000151895934094093,,0.81653,0,2507.0
9,18610,0.15124794600868552,0.1511836910394352,0.0001401685146995449,,0.81653,0,2607.7
10,20471,0.15359157812634608,0.1511836910394352,0.00012773928451339297,0.80847,0.81653,0,4205.3
11,22332,0.15145112438862895,0.1511836910394352,0.00011482540286904085,,0.81653,0,4270.4
12,24193,0.15133962388638766,0.1511836910394352,0.00010165249676731974,,0.81653,0,4308.4
13,26054,0.14917530375629778,0.14917530375629778,8.845071879734384e-05,,0.81653,0,4260.3
14,27915,0.15054119681536823,0.14917530375629778,7.545072598780814e-05,,0.81653,0,5940.9
15,29776,0.15229207045562193,0.14917530375629778,6.287964984488728e-05,0.79162,0.81653,0,4236.9
16,31637,0.15208628798464477,0.14917530375629778,5.095712798687917e-05,,0.81653,0,2125.7
17,33498,0.15457193945972098,0.14917530375629778,3.9891466709539906e-05,,0.81653,0,2327.3
18,35359,0.1535018210459601,0.14917530375629778,2.9876001528478058e-05,,0.81653,0,4261.5
19,37220,0.15164772632536702,0.14917530375629778,2.108571928598986e-05,,0.81653,0,4209.0
20,39081,0.1519316878521633,0.14917530375629778,1.3674200839748708e-05,0.79357,0.81653,0,2675.3
21,40942,0.15343098583764228,0.14917530375629778,7.770937749665385e-06,,0.81653,0,2738.2
22,42803,0.15199323102354353,0.14917530375629778,3.479069844864402e-06,,0.81653,0,4271.4
23,44664,0.15285057473307606,0.14917530375629778,8.735831992461308e-07,,0.81653,0,4629.2
24,46525,0.1516053777277654,0.14917530375629778,0.0,0.79885,0.81653,0,4542.2
