condition,mean_clip_similarity,median_clip_similarity,clip_top1,clip_top5,mean_pixel_mse,mean_ssim,mean_lpips
correct,0.7140995860099792,0.7256641387939453,0.405,0.59,0.13618338108062744,0.1023663729429245,0.7563045024871826
permuted,0.7151857614517212,0.7268331050872803,0.435,0.61,0.1353190392255783,0.09706888347864151,0.7549735903739929
zero,0.7663307189941406,0.7738593816757202,0.57,0.72,0.109925776720047,0.12618732452392578,0.7304027080535889
permuted_text,0.5961402654647827,0.5937526226043701,0.0,0.03,0.13554944097995758,0.09992974996566772,0.7819718718528748
semantic_permuted,0.7170498371124268,0.7333298921585083,0.43,0.635,0.13620588183403015,0.10231790691614151,0.753385603427887
semantic_zero,0.7155783176422119,0.7233401536941528,0.445,0.615,0.11508587002754211,0.10683343559503555,0.7372181415557861
lowlevel_permuted,0.7170630097389221,0.7312854528427124,0.415,0.615,0.1366531401872635,0.09787807613611221,0.7557855248451233
lowlevel_zero,0.7648967504501343,0.7734851241111755,0.575,0.745,0.10883333534002304,0.12985683977603912,0.7344701886177063
