metric_name,condition,subject_id,split,value,seed,checkpoint
retrieval/top1,zero,all,test,0.005,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top5,zero,all,test,0.025,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top10,zero,all,test,0.05,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,zero,all,test,100.5,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,zero,all,test,100.5,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,zero,all,test,0.542216420173645,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,sub-01,test,0.005,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,sub-01,test,0.02,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,sub-01,test,0.045,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,sub-01,test,100.135,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,sub-01,test,103.0,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,sub-01,test,0.5701621770858765,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
embedding/mse,noise,sub-01,test,0.4596339707837621,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
embedding/mae,noise,sub-01,test,0.5278614042072987,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
embedding/mean_cosine,noise,sub-01,test,0.5701622201358495,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
embedding/mean_pearson,noise,sub-01,test,0.00010316237208001643,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top1,noise,all,test,0.005,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top5,noise,all,test,0.02,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/top10,noise,all,test,0.045,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_rank,noise,all,test,100.135,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/median_rank,noise,all,test,103.0,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
retrieval/mean_cosine,noise,all,test,0.5701621770858765,42,outputs\exp01_raw_train_independent_trials_eeg_to_clip\checkpoints\best.pt
