epoch,global_step,lr,train_total,train_clip_cosine,train_clip_infonce,train_lowlevel_mse,val_loss,val_top1,val_top5,val_top10,val_mean_rank,val_mean_cosine,best_metric,is_best,seconds
0,232,2.510775862068966e-05,9.891892194747925,0.4608306893757705,5.604152679443359,15.307635220988043,9.432841538518055,0.0006045949214026602,0.003022974607013301,0.006045949214026602,827.4987908101572,0.7443906664848328,0.003022974607013301,1,32.2
1,464,5e-05,9.670529114788977,0.25698924205940343,5.594996912726041,15.274171829223633,9.50814919546697,0.0006045949214026602,0.005441354292623942,0.007859733978234583,779.6233373639661,0.692979097366333,0.005441354292623942,1,26.7
2,696,4.99871554050172e-05,9.617717800469235,0.26411358434064636,5.545539987498317,15.23225686467927,9.39472618241408,0.0006045949214026602,0.0036275695284159614,0.009068923821039904,745.5683192261185,0.7157509326934814,0.005441354292623942,0,26.5
3,928,4.994863481875841e-05,9.567515241688696,0.27267487437046806,5.498338337602286,15.186008177954575,9.352889705597994,0.0012091898428053204,0.0048367593712212815,0.009673518742442563,703.6481257557436,0.7025195956230164,0.005441354292623942,0,26.5
4,1160,4.9884477823729956e-05,9.520757292879038,0.2803361898866193,5.454760469239334,15.14264267477496,9.28967859551869,0.0006045949214026602,0.007859733978234583,0.015114873035066506,664.0006045949214,0.6962125897407532,0.007859733978234583,1,26.6
5,1392,4.979475034558115e-05,9.480917445544538,0.2874036918169466,5.417933085869098,15.1023226935288,9.273574284803766,0.0024183796856106408,0.008464328899637243,0.015719467956469165,647.4830713422007,0.690882682800293,0.008464328899637243,1,26.6
6,1624,4.967954458536126e-05,9.445542964442023,0.29453290189648496,5.384940673565042,15.064277595487134,9.23683792215737,0.003022974607013301,0.009673518742442563,0.020556227327690448,627.2956469165659,0.6833229660987854,0.009673518742442563,1,26.6
7,1856,4.9538978924776634e-05,9.41268002986908,0.30024494873038654,5.356332088338918,15.02441194961811,9.223476429516056,0.0024183796856106408,0.007859733978234583,0.016928657799274487,617.1475211608223,0.6751376390457153,0.009673518742442563,0,26.5
8,2088,4.937319780454559e-05,9.381038801423434,0.30625326815864135,5.327785557714002,14.98799979686737,9.20721686016115,0.0024183796856106408,0.007859733978234583,0.02357920193470375,609.6783555018138,0.6652151346206665,0.009673518742442563,0,26.8
9,2320,4.9182371575975736e-05,9.352563101669837,0.31112867889219314,5.304991031515187,14.94577367963462,9.183402143337707,0.003022974607013301,0.010882708585247884,0.018742442563482467,595.4510278113664,0.662383496761322,0.010882708585247884,1,27.0
10,2552,4.8966696325916515e-05,9.324829681166287,0.31591734521347903,5.280294615646889,14.91447087814068,9.169965061339964,0.003022974607013301,0.010882708585247884,0.02357920193470375,591.6825876662637,0.6639463305473328,0.010882708585247884,0,26.5
11,2784,4.8726393675266716e-05,9.299151321937298,0.32055298033459434,5.258325872750118,14.88108979833537,9.23377328801184,0.003022974607013301,0.013301088270858524,0.026602176541717048,607.1886336154777,0.658473551273346,0.013301088270858524,1,26.6
12,3016,4.846171055124401e-05,9.273394580545096,0.3249702188989212,5.235396187880943,14.852112671424603,9.144347019034113,0.003022974607013301,0.013905683192261185,0.02599758162031439,574.6638452237002,0.6553761959075928,0.013905683192261185,1,26.6
