epoch,global_step,loss,best_loss,lr,val_clip_sim,best_val_sim,is_best,seconds
0,1861,0.1548504460371263,0.1548504460371263,0.0001,,,1,1755.4
1,3722,0.1551508181173483,0.1548504460371263,9.931806517013612e-05,,,0,1735.2
2,5583,0.15571646821807386,0.1548504460371263,9.729086208503174e-05,,,0,1735.5
3,7444,0.15348401809033407,0.15348401809033407,9.397368756032445e-05,,,1,1735.6
4,9305,0.15227309379180592,0.15227309379180592,8.945702546981969e-05,,,1,1733.9
5,11166,0.15275545384828465,0.15227309379180592,8.386407858128706e-05,,,0,1755.5
6,13027,0.1548580456653718,0.15227309379180592,7.734740790612135e-05,,,0,1767.0
7,14888,0.15234398573584956,0.15227309379180592,7.008477123264848e-05,,,0,1783.5
8,16749,0.15218841211138817,0.15218841211138817,6.227427435703997e-05,,,1,1764.0
9,18610,0.15216029869137504,0.15216029869137504,5.4128967273616625e-05,,,1,1757.7
10,20471,0.1519928576644191,0.1519928576644191,4.5871032726383386e-05,,,1,1770.6
11,22332,0.1527858543022416,0.1519928576644191,3.772572564296005e-05,,,0,1770.3
12,24193,0.15605581712053296,0.1519928576644191,2.991522876735154e-05,,,0,1774.6
13,26054,0.15320299114833255,0.1519928576644191,2.2652592093878666e-05,,,0,1778.1
14,27915,0.15006090410931625,0.15006090410931625,1.6135921418712956e-05,,,1,1778.1
15,29776,0.1531730681261388,0.15006090410931625,1.0542974530180327e-05,,,0,1779.4
16,31637,0.15326723273997184,0.15006090410931625,6.026312439675552e-06,,,0,1780.6
17,33498,0.15215821956396583,0.15006090410931625,2.7091379149682685e-06,,,0,1782.6
18,35359,0.15229044092315333,0.15006090410931625,6.819348298638839e-07,,,0,1782.2
19,37220,0.1510615804634691,0.15006090410931625,0.0,,,0,1778.1
